id,globio_country_code,item_name,item_code,msa_land_use_dynamic,msa_land_use_static,msa_fragmentation_dynamic,msa_fragmentation_static,msa_encroachment_dynamic,msa_encroachment_static,msa_n_deposition_static,msa_n_deposition_dynamic,msa_climate_change_terrestrial_dynamic,msa_climate_change_aquatic_dynamic,msa_aquatic_wetland_conversion_static,msa_aquatic_wetland_conversion_dynamic,msa_aquatic_land_use_river_static_wm,msa_aquatic_land_use_river_static_cut,msa_aquatic_land_use_river_dynamic_wm,msa_aquatic_land_use_river_dynamic_cut,msa_aquatic_land_use_wetland_static_wm,msa_aquatic_land_use_wetland_static_cut,msa_aquatic_land_use_wetland_dynamic_wm,msa_aquatic_land_use_wetland_dynamic_cut,msa_aquatic_HD_water_withdrawn_static_wm,msa_aquatic_HD_water_withdrawn_static_cut,msa_aquatic_HD_water_withdrawn_dynamic_wm,msa_aquatic_HD_water_withdrawn_dynamic_cut,msa_aquatic_lakes_eutrophication_static,msa_aquatic_lakes_eutrophication_dynamic
1,40,Wheat,15,7.84527228670972E-06,0.00183837133651783,0,0.000429432673457845,0,0.000573267471624127,5.79580422268726E-05,0,2.44629966081483E-06,2.38643973190582E-08,3.3240278938595E-08,3.69336432651056E-09,2.8822854283236E-06,2.90406661656145E-06,5.6751499415014E-09,5.72454595357606E-09,8.79244940245637E-06,8.96657243994346E-06,1.68435354018136E-08,1.71099855403856E-08,1.19076181223531E-07,1.27138433481113E-07,0,0,2.79851416320545E-05,0
2,40,Barley,44,6.78790237353826E-06,0.00159059937023902,0,0.000371554607273154,0,0.00049600364258889,5.01465746528493E-05,0,2.11659234596114E-06,2.0648002170621E-08,2.87602214503879E-08,3.19558016115422E-09,2.49381683453818E-06,2.51266239832933E-06,4.91026472380846E-09,4.95300324139604E-09,7.60742087553206E-06,7.75807596260259E-06,1.45733978062726E-08,1.48039363346938E-08,1.03027334631628E-07,1.1000297285492E-07,0,0,2.42133609090699E-05,0
3,40,Maize,56,3.85614005116044E-06,0.000903603734909355,0,0.000211076489238361,0,0.000281774752560487,2.84877719663729E-05,0,1.202415130344E-06,1.17299253532245E-08,1.63383967110999E-08,1.81537741234443E-09,1.4167126229466E-06,1.42741860092369E-06,2.78947271503084E-09,2.81375204321316E-09,4.32170038840465E-06,4.40728604995283E-06,8.27900283029087E-09,8.4099694830003E-09,5.85288075129223E-08,6.24915984393362E-08,0,0,1.3755370309782E-05,0
4,40,Rye,71,1.02077809613282E-05,0.00239197458583409,0,0.000558751118902681,0,0.00074590002344555,7.54114042671996E-05,0,3.18297315769037E-06,3.10508713661511E-08,4.32501861118874E-08,4.80557623465416E-09,3.75025075550241E-06,3.77859108461834E-06,7.38415257092837E-09,7.44842359342371E-09,1.14401889869238E-05,1.16667470670048E-05,2.19157619662681E-08,2.22624503350409E-08,1.54934530150132E-07,1.65424631971045E-07,0,0,3.641252789093E-05,0
5,40,Oats,75,1.15861903841318E-05,0.00271497527723917,0,0.000634202170430468,0,0.000846622758845334,8.55945959542632E-05,0,3.61278647458198E-06,3.52438310152184E-08,4.9090482284042E-08,5.45449803156022E-09,4.25666649843862E-06,4.28883376867395E-06,8.38127285806501E-09,8.45422272891696E-09,1.29850168352066E-05,1.32421682238214E-05,2.48751605776481E-08,2.52686640687382E-08,1.75856140545739E-07,1.87762775034319E-07,0,0,4.13294997326169E-05,0
6,40,Millet,79,9.57623734257659E-06,0.00224398588078424,0,0.000524181832497521,0,0.000699752050461184,7.0745787780475E-05,0,2.98604628455188E-06,2.91297898164724E-08,4.05743470483083E-08,4.50826078314537E-09,3.51822707255618E-06,3.54481401824095E-06,6.92730357958294E-09,6.98759822814536E-09,1.07323977069801E-05,1.09449389003064E-05,2.05598590847006E-08,2.08850982445E-08,1.4534890970909E-07,1.55190001045731E-07,0,0,3.41597268444292E-05,0
7,40,Sorghum,83,5.62594075536162E-06,0.00131831858062149,0,0.000307951424883385,0,0.000411097118680875,4.15624212836447E-05,0,1.75427142088111E-06,1.71134513338529E-08,2.38370107710641E-08,2.64855675234045E-09,2.06692214969526E-06,2.08254170630582E-06,4.06971946694171E-09,4.10514195163404E-09,6.30517305518276E-06,6.43003881601881E-06,1.20787053423205E-08,1.22697799971037E-08,8.53909866293819E-08,9.11725263769281E-08,0,0,2.00684875041314E-05,0
8,40,Buckwheat,89,3.27555415814009E-05,0.00767555880213051,0,0.00179296514866534,0,0.00239350347799387,0.000241986127792527,0,1.02137780987068E-05,9.96385122315902E-08,1.38784646237837E-07,1.54205162486485E-08,1.20341036928516E-05,1.2125044400955E-05,2.36948576283892E-08,2.3901095610748E-08,3.67101907339037E-05,3.74371883684345E-05,7.03250446981354E-08,7.14375259829658E-08,4.97166275800176E-07,5.30827751069853E-07,0,0,0.000116843423260533,0
9,40,Triticale,97,7.30063240037833E-06,0.00171074665770941,0,0.000399620303165066,0,0.000533469703086281,5.39344391731062E-05,0,2.27647096392488E-06,2.22076667215444E-08,3.09326494413487E-08,3.43696104903875E-09,2.68218942774041E-06,2.70245850735379E-06,5.28116578058335E-09,5.32713258874789E-09,8.18205393520908E-06,8.34408888347774E-06,1.56742119071781E-08,1.5922164361045E-08,1.10809592705472E-07,1.1831214174401E-07,0,0,2.60423378898223E-05,0
10,40,"Grain, mixed",103,1.05263435788515E-05,0.00246662290440591,0,0.00057618852470675,0,0.000769177939064991,7.77648299946403E-05,0,3.28230681938058E-06,3.20199014517549E-08,4.45999302480882E-08,4.95554780534313E-09,3.86728791583802E-06,3.89651268491782E-06,7.61459589451636E-09,7.68087267568095E-09,1.1797212375498E-05,1.20308408399539E-05,2.25997051781613E-08,2.29572129360491E-08,1.59769699483836E-07,1.70587174541578E-07,0,0,3.75488836022762E-05,0
