uss30_region_name,country name,country code,km2,sum_static,ms.km2,population,gpd_per_capita
W.Europe,Austria,AUT,278340.0,0.0029508394942395558,821.336664826638,8879920.0,50067.5857265892
W.Europe,Belgium,BEL,203760.0,0.0012931272232330844,263.48760300597326,11488980.0,46641.7214017087
C.Europe,Bulgaria,BGR,1198680.0,0.0020511581319989157,2458.6822296644605,6975761.0,9874.33632625168
C.Europe,Croatia,HRV,143150.0,0.0019510078277109161,279.28677053681764,4065253.0,15120.9029026824
C.Europe,Cyprus,CYP,10590.0,0.005019679370301059,53.158404531488216,1228836.0,29420.0
C.Europe,Czechia,CZE,,0.0020680916498572654,,10671870.0,23664.8478631108
W.Europe,Denmark,DNK,573400.0,0.0013434299701778054,770.3227448999536,5814422.0,59592.9806886454
C.Europe,Estonia,EST,166980.0,0.002742345335049563,457.91682404657604,1326898.0,23424.4847073518
W.Europe,Finland,FIN,197600.0,0.006412866912201912,1267.1825018510979,5521606.0,48629.8582283032
W.Europe,France,FRA,5244250.0,0.0016739075372180952,8778.389602055995,67388001.0,40494.8982936276
W.Europe,Germany,DEU,3118100.0,0.0013496365381004214,4208.301689450924,83092962.0,46805.1384334439
W.Europe,Greece,GRC,350490.0,0.004424743996493919,1550.8285233311535,10721582.0,19143.8876174584
C.Europe,Hungary,HUN,1015640.0,0.001963833891575436,1994.548253639676,9771141.0,16786.2136399075
W.Europe,Ireland,IRL,63480.0,0.0012148616894759497,77.11942004793329,4934340.0,80848.3019020489
W.Europe,Italy,ITA,1754640.0,0.003087321342148762,5417.137519787904,59729081.0,33673.7509627421
C.Europe,Latvia,LVA,492700.0,0.0025051927870159735,1234.3084861627701,1913822.0,17883.3494113217
C.Europe,Lithuania,LTU,895760.0,0.0022513619000786053,2016.6799356144115,2794137.0,19615.5491450175
C.Europe,Lithuania,LTU,27610.0,0.0022513619000786053,62.16010206117029,2794137.0,19615.5491450175
W.Europe,Luxembourg,LUX,13360.0,0.002039850762658041,27.25240618911143,620001.0,112726.439672814
C.Europe,Malta,MLT,0.0,0.0020747106405897,0.0,504062.0,31727.0070746362
W.Europe,Netherlands,NLD,,0.001444891412227053,,17344874.0,52476.2732533327
C.Europe,Poland,POL,2511330.0,0.0022566181089317054,5667.11275550346,37965475.0,15700.0135796738
W.Europe,Portugal,PRT,28530.0,0.006686085002919992,190.75400513330737,10286263.0,23330.817288932
C.Europe,,,2168370.0,0.002257000170676562,4894.011460089937,,
C.Europe,Slovak Republic,SVK,406820.0,0.002472932437026747,1006.0383740312212,5454147.0,19381.8905468746
C.Europe,Slovenia,SVN,26730.0,0.0030114084727425805,80.49494847640918,2088385.0,26042.4463468032
W.Europe,Spain,ESP,1920090.0,0.004999075790627716,9598.675434826371,47134837.0,29581.5185513299
W.Europe,Sweden,SWE,469490.0,0.00318739447346184,1496.4498313455993,10278887.0,51939.4297445291
